saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s],main sequence ratio,Q ratio
1,420379000,455379000,35,81.23798370361328,5.221933841705322,2301.99267578125,3100.381591796875,38.16418687972652,1.3468251330316106
2,670631000,775757000,105,339.5577087402344,21.916805267333984,4619.078125,9679.7080078125,28.506812711525246,2.095593048193464
3,1331262000,1391268000,60,308.9524841308594,19.91885757446289,4892.83935546875,9407.7314453125,30.450415285632655,1.9227550225611707
4,2076893000,2137018000,60,282.37579345703125,18.21906471252441,4738.16845703125,7849.84033203125,27.799267904406083,1.656724619062964
5,2497272000,2552397000,55,341.9032592773437,22.03491973876953,5881.44091796875,10921.2578125,31.942537885083272,1.8569017294951986
6,2852650000,2902660000,50,165.9062957763672,10.658513069152832,3340.60888671875,5591.326171875,33.701711835045785,1.6737446260483893
7,3678407000,3713407000,35,94.42010498046876,6.075829029083252,2701.3955078125,3482.129638671875,36.87911212757251,1.2890114122872691
8,3918659000,3983659000,65,343.1332092285156,22.148435592651367,5295.17431640625,8676.125,25.285005259348072,1.6384965785013754
9,4554289000,4614289000,60,317.1310119628906,20.47441864013672,5322.57177734375,8566.6259765625,27.012892632414427,1.609489986218224
10,4754416000,4774416000,20,28.89554214477539,1.8601011037826536,1461.0006103515625,1654.568603515625,57.260341239688,1.1324900152625426
11,4929542000,4984668000,55,273.9527282714844,17.639636993408203,5002.98828125,8573.37109375,31.295074693521126,1.713650045090239
12,5229920000,5264920000,35,75.9804458618164,4.900290012359619,1894.157958984375,2727.2919921875,35.894656332335195,1.4398440105015538
13,5975555000,6085677000,110,287.4727783203125,18.56152534484864,4557.36767578125,11338.8505859375,39.443214944349776,2.488026288990109
14,6345929000,6375929000,30,35.39259719848633,2.2707552909851074,1187.7015380859375,1425.355224609375,40.27269365443276,1.2000954607724368
15,6516062000,6551065000,35,53.9626579284668,3.463801383972168,1610.084228515625,2095.427490234375,38.83106523426043,1.3014396719892098
16,6811308000,6871437000,60,314.4882507324219,20.23468971252441,5271.15625,9553.6572265625,30.378423372932623,1.8124405298292001
17,7136686000,7191686000,55,271.1893920898437,17.430747985839844,4968.1240234375,8181.7138671875,30.169741537961556,1.6468417109938576
18,7411938000,7461938000,50,222.2851409912109,14.318655967712402,4550.560546875,7389.8603515625,33.244958788561995,1.6239450668637578
19,7882317000,7922317000,40,104.16159057617188,6.712632656097412,2681.407470703125,4112.60791015625,39.48295996064652,1.5337497023821718
20,8137574000,8182570000,45,48.66914367675781,3.1307485103607178,1302.0294189453125,1742.1177978515625,35.79511917082526,1.338001870389946
21,8628073000,8683074000,55,174.45318603515625,11.234596252441406,3321.246337890625,6324.0166015625,36.25050791728199,1.9041094692117841
22,9383705000,9418705000,35,63.63496017456055,4.089800357818604,1836.169677734375,2442.83251953125,38.38821479309773,1.3303958502056454
23,9699083000,9754083000,55,155.69189453125,10.016446113586426,2900.61767578125,5099.77099609375,32.755533044593655,1.7581672478501262
24,10054345000,10114461000,60,182.32034301757807,11.737496376037598,3166.470947265625,5485.2099609375,30.085561875059955,1.7322786320443582
25,10329588000,10394713000,65,344.3128662109375,22.231294631958008,5323.89111328125,8634.2275390625,25.076691539528138,1.6217889050215764
26,10699966000,10754967000,55,257.9167785644531,16.57415008544922,4724.3857421875,7685.53076171875,29.79849083295736,1.6267788409166122
27,11230471000,11275471000,45,159.47071838378906,10.240129470825195,3656.807861328125,5508.6142578125,34.54310806172725,1.5063996979627507
28,11620849000,11665849000,45,177.7854766845703,11.423640251159668,4063.104248046875,6144.611328125,34.56194196912306,1.5122947758671712
29,12171364000,12211354000,40,179.7072296142578,11.571849822998049,4514.490234375,6477.02197265625,36.04207792062234,1.434718348339267
30,12496606000,12521606000,25,26.30572891235352,1.6990927457809448,1065.5885009765625,1181.5211181640625,44.91497354438274,1.1087967982774336
31,12931985000,12977110000,45,241.19949340820312,15.53390407562256,4932.064453125,8523.9853515625,35.33998032548356,1.7282793914344787
32,13207237000,13327363000,120,417.5052490234375,26.92252922058105,4938.61572265625,9235.91015625,22.121662369163467,1.8701414880043423
33,13937993000,14002994000,65,390.5646057128906,25.179170608520508,5653.8896484375,10512.07421875,26.915071322355228,1.8592641300763804
34,14393372000,14468505000,75,400.0918273925781,25.77713966369629,5105.2880859375,9756.64453125,24.386013068136442,1.9110859890795677
35,14968878000,15114003000,145,140.51904296875,9.035929679870604,3610.619140625,8188.25146484375,58.27147190765264,2.267824754129664
36,15279255000,15304266000,25,28.794586181640625,1.848921537399292,1175.228759765625,1528.1298828125,53.07004147143579,1.3002829194864614
37,16095022000,16145012000,50,190.17189025878903,12.20157241821289,3853.702392578125,6264.52734375,32.94139494130877,1.6255866970461708
38,16560391000,16580391000,20,20.915321350097656,1.3445590734481812,1050.9293212890625,1203.5484619140625,57.54386661185308,1.1452230302583988
39,16915769000,16955769000,40,96.89112091064452,6.21701192855835,2427.834716796875,3432.989990234375,35.43141990689082,1.4140130571835778
