timestamp [ns],gaze x [px],gaze y [px],fixation id,blink id,azimuth [deg],elevation [deg]
0,635.779,499.732,,,-11.57213897087308,7.222024029537351
5001000,635.165,498.282,,,-11.613391344054252,7.314591290620692
10013000,634.782,499.763,,,-11.63670638816178,7.219428236519161
15002000,629.844,492.441,,,-11.96479219020615,7.685505586770958
20000000,630.497,496.836,,,-11.917524823599852,7.404319329934384
25000000,633.4,498.199,,,-11.7278795579238,7.318807302333178
30000000,634.736,499.425,,,-11.640063583558652,7.241070076749675
35000000,635.098,499.332,,,-11.61669913319372,7.247251975014561
40000000,634.467,498.545,,,-11.658368250035334,7.297288170631383
45000000,633.943,499.69,,,-11.691169911561984,7.223548817072862
50000000,635.036,498.449,,,-11.621604149957284,7.303844593437434
55000000,635.018,499.742,,,-11.621419027210004,7.220890464123476
60000000,633.992,496.418,,,-11.69142616956341,7.433339266936479
65000000,636.1,496.83,,,-11.554363049727217,7.408280709146296
70000000,635.538,493.934,,,-11.5938903406797,7.593618789674177
75011000,635.52,493.358,,,-11.59568621159212,7.630513769460973
80000000,637.502,493.432,,,-11.467048742432318,7.627063146931982
85006000,637.44,491.982,,,-11.472683054838562,7.720006691394588
90000000,634.588,490.505,,,-11.659261678124732,7.812780651986851
95000000,633.503,492.994,,,-11.726847426820092,7.65250459412134
100001000,635.396,493.063,,,-11.604019667855116,7.649317200254927
105001000,639.845,490.427,,,-11.318395419400993,7.821258673610092
110001000,640.005,492.594,,,-11.30562758410339,7.682392693042431
115001000,638.747,492.183,,,-11.38770338623742,7.707939969640627
120001000,637.789,488.824,,,-11.453511041764148,7.922683182989234
125001000,633.542,490.618,1.0,,-11.72699639467255,7.804802971044798
130001000,641.244,486.713,1.0,,-11.2316999160885,8.06033535885305
135126000,633.011,495.27,1.0,,-11.756258090303955,7.50631215240325
140128000,634.663,496.199,1.0,,-11.648168349689476,7.4477922759926365
145126000,636.747,497.67,1.0,,-11.511543920627574,7.354818297173454
150136000,636.056,497.799,1.0,,-11.556180735488338,7.34616147542014
155126000,637.407,496.685,1.0,,-11.469760554973377,7.418435686302752
160126000,636.157,497.914,1.0,,-11.549499927811894,7.338811580688875
165126000,634.561,496.87,1.0,,-11.6540959301066,7.404772838309649
170126000,633.154,496.116,1.0,,-11.746068680362852,7.452181475118935
