section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,1,1762169031828374993,1762169032208627993,380,673.763,450.258,-9.158600505447149,10.422499054237639
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,2,1762169032263758993,1762169032494005993,230,675.745,746.912,-8.99929965835631,-8.663999990922607
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,3,1762169032534005993,1762169032809260993,275,795.207,767.433,-1.2279551003027664,-10.02760566630096
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,4,1762169032869258993,1762169033314762993,446,683.685,461.763,-8.499123184536378,9.689807954113043
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,5,1762169033374774993,1762169033940267993,565,722.052,746.598,-5.98708489352785,-8.666361440229664
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,6,1762169034010393993,1762169034545898993,536,658.157,449.432,-10.177405186398566,10.463866070162418
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,7,1762169034605898993,1762169034741025993,135,681.797,756.286,-8.61477793313633,-9.270003540534946
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,8,1762169034776025993,1762169034856151993,80,696.174,785.633,-7.707415592223822,-11.164945932042267
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,9,1762169034911151993,1762169035256529993,345,830.432,747.719,1.0688015760217615,-8.755293777920397
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,10,1762169035271529993,1762169035451666993,180,846.065,736.992,2.084443591139823,-8.061074789632118
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,11,1762169035491781993,1762169035586782993,95,771.623,760.787,-2.764905059566089,-9.595673313052547
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,12,1762169035716908993,1762169036452665993,736,717.0,440.993,-6.345059630948989,11.044658039948578
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,13,1762169036507668993,1762169036908048993,400,665.51,695.404,-9.622082525105164,-5.347962024194307
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,14,1762169036973044993,1762169037168296993,195,905.276,710.765,5.919935038083897,-6.35520618594922
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,15,1762169037213297993,1762169037868927993,656,746.788,706.208,-4.361175663048006,-6.06864357234717
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,16,1762169037934053993,1762169038489558993,556,749.068,447.031,-4.245003058265321,10.66933090363194
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,17,1762169038554564993,1762169039080063993,525,622.589,722.417,-12.42331133041493,-7.059164543373349
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,18,1762169039105063993,1762169039415316993,310,644.825,734.589,-10.994939772647445,-7.8537398959092615
955a55ff-a663-47c7-b243-f64427f8e84e,65d4ce7b-3911-4b2c-8a0a-8b48107a0118,19,1762169039475442993,1762169039745694993,270,938.116,716.916,8.051110430878376,-6.739439649610059
