gaze_x_median_px,gaze_y_median_px,gaze_azimuth_median_deg,gaze_elevation_median_deg,total_number_of_gaze_coordinates,total_number_of_fixations,fixations_duration_ms_median,fixations_fixation_x_px_median,fixations_fixation_y_px_median,fixations_azimuth_deg_median,fixations_elevation_deg_median,total_number_of_saccades,saccades_duration_ms_median,saccades_amplitude_px_median,saccades_amplitude_deg_median,saccades_mean_velocity_px/s_median,saccades_peak_velocity_px/s_median,total_number_of_blinks,blinks_duration_median_ms,segment_name,total_duration_of_segment_ms,3d_eye_states_timestamp_ns_median,3d_eye_states_pupil_diameter_left_mm_median,3d_eye_states_pupil_diameter_right_mm_median,3d_eye_states_eyeball_center_left_x_mm_median,3d_eye_states_eyeball_center_left_y_mm_median,3d_eye_states_eyeball_center_left_z_mm_median,3d_eye_states_eyeball_center_right_x_mm_median,3d_eye_states_eyeball_center_right_y_mm_median,3d_eye_states_eyeball_center_right_z_mm_median,3d_eye_states_optical_axis_left_x_median,3d_eye_states_optical_axis_left_y_median,3d_eye_states_optical_axis_left_z_median,3d_eye_states_optical_axis_right_x_median,3d_eye_states_optical_axis_right_y_median,3d_eye_states_optical_axis_right_z_median,3d_eye_states_eyelid_angle_top_left_rad_median,3d_eye_states_eyelid_angle_bottom_left_rad_median,3d_eye_states_eyelid_aperture_left_mm_median,3d_eye_states_eyelid_angle_top_right_rad_median,3d_eye_states_eyelid_angle_bottom_right_rad_median,3d_eye_states_eyelid_aperture_right_mm_median,label,recording_id
716.703,459.19,-6.3476554363769,9.873460768202172,403,3,626.0,720.914,456.951,-6.05894024251826,10.01119253675413,3,40.0,112.53933715820312,7.245056629180908,2952.287841796875,4314.419921875,0,0.0,01_E_pressed,2011.904,1844694055.0,3.2007,3.0298,-30.9688,17.375,-38.1562,32.125,18.1562,-38.0,-0.0315,-0.0931,0.9938,-0.1013,-0.1009,0.9877,0.4116,-0.3926,8.7899,0.4033,-0.3086,7.8207,1,orestis_10-39f0de63
746.3335,703.191,-4.396798194139414,-5.875171005544852,120,2,333.0,771.7674999999999,707.8135,-2.7401278712129784,-6.174344084219916,2,52.5,176.1214485168457,11.356329679489136,3270.4214477539062,5358.7159423828125,0,0.0,02_y_pressed,595.507,3153454055.0,3.4294,3.1786,-31.125,16.75,-37.75,31.9531,17.375,-37.9375,0.02445,0.1691,0.9827,-0.0725,0.1628,0.98345,0.1266499999999999,-0.59055,7.958550000000001,0.1662,-0.5376,7.769399999999999,1,orestis_10-39f0de63
693.639,401.43,-7.917679912613118,13.574006656463965,43,1,150.0,693.653,432.132,-7.8806466405558915,11.600677074198202,1,20.0,16.382888793945312,1.0521619319915771,837.0006713867188,932.4242553710938,0,0.0,03_e_pressed,210.252,3561340055.0,3.5277,3.3109,-30.9062,17.75,-38.4688,32.1562,18.625,-38.125,-0.0613,-0.1493,0.9866,-0.1265,-0.158,0.9797,0.5464,-0.3289,9.6265,0.5439,-0.2418,8.6003,1,orestis_10-39f0de63
740.2805000000001,710.3399999999999,-4.792298463228359,-6.335814431859042,164,2,402.5,723.9095,559.805,-5.90135324031148,3.368305241467904,2,65.0,337.9318542480469,21.79451274871826,5220.068115234375,9494.30029296875,0,0.0,04_T_pressed,815.761,4079339055.0,3.22085,3.08125,-31.0,16.875,-38.125,32.0625,17.5625,-38.0625,0.00865,0.1677,0.98435,-0.086,0.159,0.9813,0.1879,-0.5557000000000001,8.3001,0.2026,-0.5161,7.97185,1,orestis_10-39f0de63
725.596,609.476,-5.846034112600767,0.1803191936872468,207,3,225.0,725.969,607.577,-5.829733094000638,0.3028050038143668,2,167.5,496.197021484375,31.93521499633789,5066.11474609375,11163.9951171875,1,230.0,05_r_pressed,1035.886,5007724055.0,3.3881,3.0941,-31.0938,17.0625,-38.4375,31.9531,17.875,-37.9375,-0.0082,0.0649,0.9823,-0.0989,0.0561,0.9761,0.1581,-0.5142,8.0026,0.1665,-0.4397,7.5462,1,orestis_10-39f0de63
735.289,322.833,-5.279887964353251,18.65035696261755,37,1,145.0,735.891,320.899,-5.229980191242837,18.77359468918787,2,42.5,161.87993335723877,10.406842827796936,2854.540802001953,4507.90478515625,0,0.0,06_a_pressed,180.252,5623231055.0,3.3936,3.1382,-31.0,18.0,-38.4062,32.0,18.9375,-38.125,-0.0014,-0.2413,0.9704,-0.0909,-0.2469,0.9649,0.6709,-0.2705,10.4127,0.6226,-0.1447,8.4817,1,orestis_10-39f0de63
707.627,333.18,-6.991621383887908,17.95964522377539,127,2,252.5,707.2439999999999,510.6095,-7.027999690206551,6.536991372011537,2,57.5,292.07173919677734,18.81174087524414,4465.3095703125,8938.01611328125,0,0.0,07_c_pressed,630.507,6033611055.0,3.2852,3.0445,-30.9688,17.8438,-38.5,32.0938,18.7812,-38.0,-0.0386,-0.2099,0.9757,-0.1123,-0.2184,0.9688,0.6182,-0.301,10.1354,0.5962,-0.1774,8.5202,1,orestis_10-39f0de63
854.469,649.9835,2.6176584937551137,-2.438500341322948,50,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,08_k_pressed,245.253,6476496055.0,2.9489,2.8433,-31.0625,17.1406,-37.4375,32.0,17.8125,-37.8594,0.1365,0.1028,0.9854,0.0102,0.1004,0.9949,0.2268,-0.5273,8.31625,0.23225,-0.44945,7.436249999999999,1,orestis_10-39f0de63
796.2674999999999,949.5245,-1.2258162945705275,-21.739107785707425,120,4,160.0,799.4035,824.113,-1.0111610249974663,-13.655939043409475,4,35.0,64.58177185058594,4.122990250587463,1868.654052734375,2481.6266479492188,0,0.0,09_i_pressed,595.632,6901932555.0,3.4487,3.1639,-31.1875,16.8125,-37.9375,31.875,17.3125,-37.8125,0.0888,0.3893,0.9151,-0.0345,0.3857,0.9223,-0.04665,-0.759,8.1678,-0.0352,-0.70065,7.634399999999999,1,orestis_10-39f0de63
841.078,982.697,1.8468592443991487,-23.862105640216097,23,1,85.0,840.705,984.164,1.8196506725985184,-23.956839460129988,0,0.0,0.0,0.0,0.0,0.0,0,0.0,10_n_pressed,110.122,7259749055.0,3.4616,3.1529,-31.375,16.7188,-38.0625,31.6562,17.1562,-37.4062,0.1275,0.4117,0.9015,-0.0013,0.4072,0.9133,-0.1178,-0.8018,7.8121,-0.0967,-0.7402,7.2674,1,orestis_10-39f0de63
793.452,403.607,-1.358246765952275,13.476802180491976,31,0,0.0,0.0,0.0,0.0,0.0,1,110.0,615.698974609375,39.66218566894531,5377.1533203125,10502.8232421875,0,0.0,11_g_pressed,150.127,7394876055.0,2.9857,2.53,-31.4062,17.875,-39.0938,31.6875,18.7812,-38.5938,0.0429,-0.1648,0.9824,-0.0226,-0.1686,0.9823,0.1674,-0.291,4.5667,0.2017,-0.2448,4.4193,1,orestis_10-39f0de63
760.7785,412.14,-3.53767961251174,12.926245657965309,172,4,167.5,770.752,376.4755,-2.8761877595245853,15.222448244410089,4,47.5,163.4997730255127,10.551261067390442,2953.4223022460938,5299.405029296875,1,210.0,12_2_pressed,855.759,7902881055.0,3.26405,3.0059,-30.9375,17.625,-38.25,32.125,18.5938,-37.875,0.0158,-0.1571,0.9832,-0.0748,-0.16,0.97735,0.478,-0.3350499999999999,9.0789,0.46605,-0.27225,8.3956,1,orestis_10-39f0de63
892.502,637.646,5.07506166839666,-1.638864844180787,31,1,185.0,897.783,634.168,5.415517133237318,-1.4139465190522942,1,50.0,167.23928833007812,10.80536651611328,3442.207763671875,5744.33740234375,0,0.0,13_0_pressed,150.127,8410887055.0,3.0867,2.8479,-31.125,17.3438,-37.5625,31.9531,18.0,-37.875,0.1612,0.0873,0.9835,0.053,0.0844,0.9945,0.3303,-0.4968,9.1461,0.2896,-0.4172,7.7592,1,orestis_10-39f0de63
739.4905,625.3855,-4.818160769913876,-0.8473300663292087,24,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,14_2_pressed,115.126,8548514055.0,3.2714,2.8865,-31.2188,17.20315,-38.1875,31.875,17.82815,-37.7812,0.0024,0.0912,0.9958,-0.0802,0.0844,0.9934,0.2772,-0.50125,8.57545,0.2866499999999999,-0.4489499999999999,8.00505,1,orestis_10-39f0de63
787.8765,356.3895,-1.738797417900568,16.515940014896255,56,2,165.0,764.9205,489.766,-3.195864809481292,7.906522247982172,1,55.0,276.4642944335937,17.826919555664062,5082.1494140625,8483.42578125,0,0.0,15_5_pressed,275.253,8748644055.0,3.3201,3.1088,-30.9375,17.9375,-38.21875,32.0938,18.79685,-37.9375,0.032,-0.19835,0.97965,-0.0598,-0.2022,0.97785,0.5725,-0.3115,9.3406,0.57445,-0.20045,8.45355,1,orestis_10-39f0de63
712.1465000000001,395.8195,-6.703416279617866,13.94726636063898,338,5,310.0,750.559,632.163,-4.408975693392432,-1.2768126651733809,5,35.0,55.19531631469727,3.521306276321411,1572.5264892578125,2149.03515625,0,0.0,16_a_pressed,1686.511,9734530555.0,3.3072,3.0353,-30.9688,17.5625,-38.4375,32.0625,18.4844,-37.8438,-0.0485499999999999,-0.1532,0.9819,-0.1139999999999999,-0.1609,0.97445,0.5327500000000001,-0.34935,9.52655,0.5144,-0.2593,8.46805,1,orestis_10-39f0de63
843.111,600.026,1.88208340902754,0.7905973483782618,119,1,240.0,908.777,592.678,6.125465741204154,1.264504415880153,2,57.5,248.4631805419922,16.044552326202393,4472.9908447265625,8309.905517578125,0,0.0,17_P_pressed,590.507,10878164055.0,3.3734,3.0702,-30.9688,17.2188,-38.0625,32.0625,17.9375,-38.1875,0.1014,0.059,0.988,-0.0024,0.0551,0.9946,0.2659,-0.4907,8.4073,0.2654,-0.4155,7.2195,1,orestis_10-39f0de63
695.875,591.356,-7.638057949331895,1.3484747480307642,161,3,265.0,723.284,602.467,-5.865406100429736,0.6330129791508069,2,50.0,241.56147956848145,15.523245990276337,3311.8667602539062,6214.115478515625,0,0.0,18_$_pressed,800.759,11578797055.0,3.3679,3.072,-31.0,17.125,-38.2812,32.0625,17.9375,-37.7812,-0.0395,0.0542,0.9975,-0.1251,0.0444,0.9901,0.2571,-0.5015,8.2972,0.3,-0.4348,8.0269,1,orestis_10-39f0de63
779.8795,677.9010000000001,-2.345508961302124,-4.245228807260351,140,2,142.5,794.0395,836.3625,-1.3705273405790253,-14.441936991285871,3,40.0,87.78880310058594,5.670729637145996,2307.955322265625,3110.479248046875,1,215.0,19_n_pressed,700.632,12331931055.0,3.32375,2.99945,-31.25,17.0,-38.1875,31.7969,17.6875,-38.0,0.0712,0.1058,0.992,-0.0591499999999999,0.0985,0.9912,0.07705,-0.53735,7.5392,0.139,-0.4706,6.8973,1,orestis_10-39f0de63
730.194,331.8655,-5.613292879689935,18.035934532157523,108,2,200.0,731.6305,479.5145,-5.413305489210831,8.552792998310064,2,70.0,185.0006046295166,11.897387504577637,2570.354736328125,5334.5355224609375,1,220.0,20_F_pressed,535.502,12957562555.0,3.5057,3.1354,-31.07815,18.0,-38.625,31.9688,18.9375,-38.125,-0.0306,-0.2337,0.97075,-0.0906,-0.2422,0.9649,0.6164499999999999,-0.2838,9.914549999999998,0.6099000000000001,-0.1671,8.603100000000001,1,orestis_10-39f0de63
888.258,584.764,4.801984888028935,1.7738968006022937,133,3,180.0,889.342,578.27,4.87154364104545,2.196176446679845,3,40.0,99.24144744873048,6.407188415527344,2496.602294921875,3617.5859375,0,0.0,21_-_pressed,660.632,13560569055.0,3.1676,3.0022,-31.0938,17.5312,-37.6562,31.9688,18.125,-38.0625,0.1493,0.0308,0.9846,0.0278,0.0308,0.9957,0.3733,-0.4712,9.269,0.3218,-0.394,7.9553,1,orestis_10-39f0de63
817.954,972.7435,0.2618860780539274,-23.229190646746904,128,1,380.0,858.931,645.585,2.905584779161972,-2.1540337936933747,1,70.0,391.4283447265625,25.19969367980957,5183.8994140625,10838.9365234375,0,0.0,22_k_pressed,635.517,14213701055.0,3.29895,3.08855,-31.125,16.75,-37.8125,31.8828,17.3438,-37.6562,0.10605,0.39605,0.91425,-0.0289,0.39065,0.9192,-0.0229499999999999,-0.7595,8.35375,-0.01325,-0.6929,7.6737,1,orestis_10-39f0de63
702.206,651.338,-7.234508459951942,-2.517054899625007,111,2,327.5,743.9449999999999,826.784,-4.569899133482597,-13.819491161279744,2,60.0,295.3464126586914,18.998673439025875,4491.42236328125,7967.5458984375,0,0.0,23_c_pressed,550.511,14811833055.0,3.1749,2.9545,-30.9688,17.0625,-38.1875,32.0938,17.6875,-37.8438,-0.0237,0.1193,0.9911,-0.1378,0.1106,0.9833,0.222,-0.522,8.1563,0.2222,-0.4768,7.6163,1,orestis_10-39f0de63
897.95,586.3745,5.427759805618845,1.6721958145934304,150,2,313.0,862.472,789.521,3.1488744767570127,-11.415635925843596,2,52.5,218.1765842437744,14.032760202884674,3179.9950256347656,6448.638671875,0,0.0,24_0_pressed,745.633,15464840055.0,3.24015,3.1575,-31.0938,17.4688,-37.75,31.9531,18.0625,-38.0938,0.1551,0.0249,0.9843,0.0454,0.0239,0.9976,0.33715,-0.4736,8.78875,0.29015,-0.40075,7.5723,1,orestis_10-39f0de63
598.1755,581.366,-13.94528715700363,1.9758604596084288,130,2,260.0,707.8199999999999,797.7385,-6.849822086851988,-11.953755769002573,1,195.0,498.8031311035156,31.915557861328125,4129.87548828125,9916.982421875,1,210.0,25_!_pressed,645.618,16165598055.0,3.3449,3.1235,-30.9062,17.375,-38.6875,32.1562,18.1562,-37.8125,-0.1705,0.0209999999999999,0.9824,-0.2393,0.0083,0.9662,0.20345,-0.43445,7.6042,0.224,-0.39785,7.46735,1,orestis_10-39f0de63
739.31,665.762,-4.833480546924111,-3.4554357598115537,155,3,165.0,735.631,657.279,-5.071186196446474,-2.9073599318066594,4,37.5,87.35785293579102,5.5889551639556885,2179.4791870117188,3207.50830078125,0,0.0,26_v_pressed,770.75,16878731055.0,3.3844,3.1878,-31.1875,16.8125,-38.0,31.8906,17.4375,-37.9688,0.0227,0.1503,0.9886,-0.077,0.1426,0.984,0.1887,-0.5674,8.2498,0.1996,-0.5054,7.5621,1,orestis_10-39f0de63
