fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
1,2753849951,2893968951,140,746.767,1002.575,-4.638994673124205,-25.118490127220355
2,2923965951,3054091951,130,748.591,943.128,-4.426767152226087,-21.308978183736752
3,3129217951,3324344951,195,652.905,589.213,-10.412027563560958,1.4825300085357571
4,3349470951,3544596951,195,693.581,616.743,-7.784176317198396,-0.288310053316393
5,3574596951,3669722951,95,684.7,676.135,-8.370740156380673,-4.114309925254541
6,3729723951,3884849951,155,930.093,638.485,7.502262919203945,-1.689838857046073
7,3949989951,4120102951,170,664.33,297.753,-10.074019365909113,20.18137845284755
8,4150102951,4340358951,190,700.926,322.398,-7.565203611923443,18.64804271804765
9,4405354951,4575606951,170,906.652,713.903,6.01054410356177,-6.557074131730885
10,4720732951,4990985951,270,849.008,673.407,2.2660659242354755,-3.953200370088595
11,5065988951,5651491951,586,693.945,306.847,-8.063555790782868,19.636907448063702
12,5736617951,5841743951,105,809.477,952.957,-0.3129950276361998,-21.959860810889708
13,5876743951,5986869951,110,767.764,1041.355,-3.241747746218904,-27.62075136140092
14,6021870951,6166996951,145,783.6,973.952,-2.0811193377578543,-23.302625069665496
15,6237124951,6457252951,220,636.072,617.288,-11.495642744566748,-0.321928455756001
16,6507374951,6697501951,190,869.628,615.741,3.595717456598932,-0.2243962725960568
17,6737501951,7082888951,345,727.212,616.26,-5.611371447738523,-0.2576593184279258
18,7142880951,7588384951,446,728.128,312.412,-5.761621926458591,19.312457819468136
19,7613385951,8038769951,425,695.957,357.958,-7.832976374359195,16.363800164344248
20,8193890951,8354017951,160,612.938,681.196,-13.010713621141974,-4.414411334269915
21,8404142951,8529268951,125,863.354,648.351,3.191810106061282,-2.332570244075987
22,8549269951,8654395951,105,888.727,657.894,4.83336568192174,-2.946891504445887
23,8719395951,8829521951,110,757.672,1005.847,-3.892643544810206,-25.33603409595153
24,8854521951,9119774951,265,744.632,1017.955,-4.8133162688498325,-26.102936701702507
25,9204900951,9535153951,330,691.893,578.72,-7.896681720918427,2.1627974606760403
26,9575153951,9735280951,160,805.584,640.207,-0.5446695674327288,-1.8074047325750395
27,9770405951,9985532951,215,752.535,623.789,-3.9747724054425775,-0.7446065790055261
28,10070658951,10390911951,320,755.086,1006.702,-4.072238062728587,-25.389140025404192
29,10471037951,10701289951,230,719.887,593.258,-6.085575803634415,1.2274189692741475
30,10731289951,11116668951,385,698.181,574.704,-7.4911782310391875,2.4225107650530435
31,11181669951,11557047951,375,762.819,999.989,-3.530273952490412,-24.96345831369141
32,11632048951,12002426951,370,860.024,611.062,2.975073855501427,0.0780670603893551
33,12062552951,12432805951,370,614.025,586.598,-12.9202102179383,1.6451317224724316
34,12497931951,12613057951,115,809.33,987.255,-0.3278641244347813,-24.160274146737777
35,12633057951,12923310951,290,795.566,1005.514,-1.2796891678304163,-25.33041602445436
36,13003436951,13188563951,185,859.521,576.873,2.9439175524862407,2.2885898752750515
37,13208566951,13358702951,150,889.912,564.757,4.910475793663575,3.0688981147158074
38,13418815951,13699067951,280,601.422,542.215,-13.7554835471182,4.482541484035981
39,13769068951,13889194951,120,785.714,988.528,-1.946714643349296,-24.238260442468587
40,13924195951,14234573951,310,806.328,1009.02,-0.5386045279689792,-25.55668571025255
41,14264573951,14444710951,180,832.675,1007.595,1.2792658005742297,-25.46245657308734
42,14609826951,14709952951,100,835.115,635.496,1.365166639987917,-1.5024067884990135
43,14749953951,15025209951,275,736.493,648.643,-5.01407118815104,-2.3497166894005352
44,15065331951,15220457951,155,816.734,599.144,0.1765014682959485,0.8491574123319795
45,15260457951,15520710951,260,728.305,585.568,-5.542298468957993,1.72446482023588
46,15560710951,16066215951,506,795.216,575.719,-1.2156161064185926,2.36444334631895
47,16106215951,16261342951,155,929.668,662.244,7.4798965815192995,-3.2212395719217874
48,16291467951,16441594951,150,961.67,671.112,9.549169956558602,-3.7844735555496327
49,16506594951,16931973951,425,835.154,989.849,1.4422530270979592,-24.32324258031121
50,17087225951,17277363951,190,867.01,566.885,3.429240383830421,2.9337295010702538
51,17347352951,17502604951,155,782.488,270.785,-2.1434110832198323,22.01386771603308
52,17537604951,17667730951,130,732.754,335.454,-5.420574219450842,17.83726677788089
53,17702731951,18478495951,776,674.725,392.225,-9.178031664000384,14.14690581445078
