section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,1,1760515538108129928,1760515538278255928,170,23.480871200561523,1.5102801322937012,4456.86865234375,11877.9326171875
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,2,1760515539789645928,1760515539844651928,55,292.2070617675781,18.817337036132812,5313.783203125,9297.5439453125
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,3,1760515540225025928,1760515540265162928,40,76.07785034179688,4.873357772827148,1978.2730712890625,2776.862548828125
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,4,1760515540440291928,1760515540460283928,20,18.87570571899414,1.2123905420303345,970.0540771484375,1072.6671142578125
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,5,1760515540695529928,1760515540795530928,100,348.2188720703125,22.462017059326172,4159.9052734375,8930.625
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,6,1760515540920657928,1760515540940782928,20,19.638696670532227,1.2612500190734863,994.1275024414062,1104.7406005859375
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,7,1760515541216034928,1760515541276035928,60,292.5071716308594,18.838558197021484,4956.87060546875,8362.353515625
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,8,1760515541721414928,1760515541746415928,25,25.806102752685547,1.6577502489089966,1044.460205078125,1196.1435546875
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,9,1760515541901666928,1760515541931672928,30,48.38985061645508,3.112740993499756,1491.350830078125,1885.0972900390625
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,10,1760515542111793928,1760515542171919928,60,287.5791015625,18.52593994140625,4849.87060546875,7907.90576171875
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,11,1760515542512172928,1760515542652299928,140,585.841796875,37.68959045410156,4995.34423828125,14233.7587890625
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,12,1760515542907551928,1760515542992677928,85,284.9024963378906,18.339927673339844,4170.361328125,7426.240234375
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,13,1760515543197813928,1760515543227810928,30,42.65972137451172,2.7452261447906494,1478.8734130859375,1803.70166015625
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,14,1760515543473057928,1760515543508057928,35,72.05715942382812,4.634876251220703,2075.92626953125,2596.46044921875
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,15,1760515543673309928,1760515543733309928,60,292.7452392578125,18.900060653686523,5000.4599609375,8600.6162109375
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,16,1760515543878436928,1760515543908436928,30,28.718955993652344,1.8489577770233154,980.9033203125,1121.3121337890625
4fc4d850-388d-424f-96e9-53a92ea3ea2a,74f062f9-10a4-49e2-ab35-9246e443d047,17,1760515544068688928,1760515544123688928,55,342.34857177734375,22.09177017211914,5423.47216796875,11006.0771484375
