section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584113050967,684.644,443.489,1,,,-8.456386776911833,10.864835664592658
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584133175967,683.857,441.009,1,,,-8.510655072330877,11.023595012713065
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584138175967,684.664,439.186,1,,,-8.4600838246415,11.141254355621156
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584143175967,685.924,440.135,1,,,-8.376683419730627,11.081163315045407
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584148175967,685.684,439.137,1,,,-8.393542847629563,11.145131701050168
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584153176967,683.88,440.327,1,,,-8.509971145279358,11.067459456062231
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584158175967,684.179,440.692,1,,,-8.490000902205727,11.044208902453242
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584163176967,688.003,437.791,1,,,-8.243561872135375,11.233216267035994
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584168176967,687.161,438.247,1,,,-8.298056758787732,11.203307009617413
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584173176967,682.579,441.234,1,,,-8.593895488417548,11.008262777537736
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584178176967,682.522,441.223,1,,,-8.59762076011826,11.008960053018917
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584183176967,684.857,440.097,1,,,-8.446451340666561,11.08286854001165
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584188176967,683.283,442.107,1,,,-8.546900540110483,10.95265471809704
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584193176967,683.444,441.737,1,,,-8.536803635500595,10.976582477420633
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584198176967,687.094,442.116,1,,,-8.297992387518379,10.9546791443648
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584203176967,685.419,446.205,1,,,-8.40272400221025,10.690817104723372
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584208176967,685.889,443.498,1,,,-8.37506976479976,10.865056438712015
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584213176967,682.257,443.565,1,,,-8.612151373949281,10.858294153093311
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584218176967,683.757,443.696,1,,,-8.514052124331492,10.850904169124684
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584223176967,682.347,442.014,1,,,-8.608094198934975,10.957993333729874
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584228176967,682.7,446.974,1,,,-8.579305875404396,10.639561514442361
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584233176967,682.815,447.537,1,1,,-8.571205059184685,10.603466492480273
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584238176967,684.409,443.982,1,1,,-8.471207951777028,10.83296891550042
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584243179967,685.116,443.56,1,1,,-8.425508732982715,10.86056278084758
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584248187967,687.473,443.938,1,1,,-8.271131009391059,10.837861497176817
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584253177967,688.63,440.704,1,1,,-8.199255571384096,11.046437537325625
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584258186967,687.567,440.328,1,1,,-8.26909842815915,11.069924926734657
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584263177967,684.61,441.377,1,1,,-8.461036892997438,11.00047937091952
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584268315967,684.428,441.714,1,1,,-8.472545175900597,10.978740085046578
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584273302967,682.605,445.976,1,1,,-8.586657584569005,10.703629195193486
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584278302967,681.353,445.82,1,1,,-8.668537996173923,10.712792579071307
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584283302967,680.972,447.082,1,1,,-8.691956730702458,10.631482166343284
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584288302967,682.233,446.159,1,1,,-8.610742514971248,10.691634349949556
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584293302967,681.065,445.246,1,1,,-8.688019744349777,10.749494276708628
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584298302967,682.066,439.432,1,1,,-8.629578458477907,11.123629508269858
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584303302967,682.692,439.775,1,1,,-8.588212701266931,11.102034553711732
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584308311967,684.061,439.356,1,1,,-8.499306076723869,11.129910499907659
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584313302967,685.849,442.498,1,1,,-8.378858615423935,10.92932996075257
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584318303967,687.35,442.582,1,1,,-8.280696652072637,10.924895183558004
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584323302967,685.504,442.935,1,1,,-8.400882458528915,10.900982681235309
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584328302967,687.841,437.17,1,1,,-8.254834653649176,11.272962167267705
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584333305967,688.189,439.982,1,1,,-8.22887476758607,11.092524325405186
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584338302967,686.794,442.179,1,1,,-8.317521829368484,10.950434719810481
2bb75225-7509-4b91-981c-1d07561d22a9,b43f5a5d-20b2-4fe4-9428-401ffa491f3f,1760515584343302967,685.848,440.728,1,1,,-8.380940195592792,11.043037965049397
