section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,1,1762169001953085846,1762169002018217846,65,304.72894287109375,19.536209106445312,4474.1875,8650.0224609375
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,2,1762169002233462846,1762169002273463846,40,97.1470718383789,6.229743957519531,2525.360107421875,3646.22216796875
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,3,1762169002418589846,1762169002553715846,135,332.6019287109375,21.45026206970215,4730.84423828125,10146.400390625
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,4,1762169002823977846,1762169002878968846,55,311.38592529296875,20.03453826904297,5755.6357421875,9894.2216796875
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,5,1762169003139220846,1762169003164221846,25,29.646533966064453,1.9053419828414917,1190.9979248046875,1470.1387939453125
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,6,1762169003414473846,1762169003459598846,45,119.52644348144531,7.680873394012451,2704.79931640625,4216.63623046875
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,7,1762169003659725846,1762169003794855846,135,382.75494384765625,24.71167755126953,4344.759765625,9992.5185546875
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,8,1762169003949978846,1762169003979978846,30,32.96132278442383,2.1175804138183594,1123.179931640625,1405.8648681640625
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,9,1762169004335360846,1762169004400356846,65,364.07208251953125,23.460554122924805,5358.466796875,10196.259765625
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,10,1762169004580608846,1762169004630609846,50,148.5249786376953,9.540322303771973,2583.364990234375,4800.70263671875
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,11,1762169004830863846,1762169004855861846,25,27.36622428894043,1.7596288919448853,1096.182861328125,1341.9212646484375
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,12,1762169005146113846,1762169005186114846,40,97.28111267089844,6.25640869140625,2456.59912109375,3502.277587890625
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,13,1762169005491497846,1762169005556492846,65,344.2442932128906,22.21830940246582,5304.201171875,8469.578125
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,14,1762169006081996846,1762169006142000846,60,361.07598876953125,23.305511474609375,6034.36767578125,10469.8349609375
9dffda75-d814-4d6d-8d5f-65ec9a16611d,1aeb7b92-04f7-472c-98ed-ce8c5e86e089,15,1762169006362249846,1762169006427249846,65,366.7519836425781,23.66651153564453,5672.2822265625,10582.1396484375
