blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1,90126000,285253000,195
2,1346264000,1571516000,225
3,2152022000,2347274000,195
5,7842339000,8007460000,165
7,14398398000,14548524000,150
8,15829787000,16004921000,175
9,17626430000,17746557000,120
12,24853129000,25058257000,205
13,28001039000,28231289000,230
14,30543438000,30763565000,220
15,31314071000,31544323000,230
17,35302868000,35492989000,190
21,48179743000,48395005000,215
23,54570683000,54775940000,205
24,55736820000,55911950000,175
