section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
5c498b69-c229-4703-8bde-bb1d924c29b2,88440e6f-aadf-42f4-88f7-447db4abb9ba,1760087571330650242,-1.054764,-0.673294,-0.829697,-0.007812,-0.606445,0.831055,0.5628696156245847,-35.89584402502601,88.77575841173504,0.6808956861495972,-0.2234782576560974,-0.2122144103050232,0.6643819212913513
5c498b69-c229-4703-8bde-bb1d924c29b2,88440e6f-aadf-42f4-88f7-447db4abb9ba,1760087571340202242,-0.932693,-0.490189,-0.768661,-0.00293,-0.606934,0.828613,0.5610890530114001,-35.8961196622254,88.73549207365389,0.681125283241272,-0.22354412078857422,-0.212148055434227,0.6641455888748169
5c498b69-c229-4703-8bde-bb1d924c29b2,88440e6f-aadf-42f4-88f7-447db4abb9ba,1760087571349754242,-0.993729,-0.490189,-0.463486,-0.010742,-0.609375,0.840332,0.5590801365359787,-35.89780639506504,88.70909972673775,0.6812713146209717,-0.22359134256839752,-0.21211831271648407,0.6639893651008606
5c498b69-c229-4703-8bde-bb1d924c29b2,88440e6f-aadf-42f4-88f7-447db4abb9ba,1760087571359306242,-0.871658,-0.795364,-0.768661,-0.014648,-0.595215,0.835938,0.5508374452383717,-35.90395426701889,88.66830131631258,0.6814807653427124,-0.22365553677082062,-0.21212343871593475,0.6637511849403381
5c498b69-c229-4703-8bde-bb1d924c29b2,88440e6f-aadf-42f4-88f7-447db4abb9ba,1760087571368858242,-0.932693,-1.039505,-0.219345,-0.004883,-0.612793,0.834961,0.5485062215549679,-35.90505779004243,88.63273746244569,0.6816803216934204,-0.2237144261598587,-0.21207429468631744,0.6635420322418213
5c498b69-c229-4703-8bde-bb1d924c29b2,88440e6f-aadf-42f4-88f7-447db4abb9ba,1760087571378461242,-0.932693,-0.8564,-0.097275,-0.010254,-0.602539,0.82959,0.5503970142073193,-35.909290860067706,88.63228462328262,0.6816784143447876,-0.22375130653381348,-0.2120867520570755,0.6635276079177856
5c498b69-c229-4703-8bde-bb1d924c29b2,88440e6f-aadf-42f4-88f7-447db4abb9ba,1760087571388064242,-1.115799,-0.795364,0.024796,-0.015625,-0.599609,0.833984,0.5539370669283937,-35.907817641637905,88.61608922826734,0.681781530380249,-0.22379302978515625,-0.2120255082845688,0.6634271740913391
5c498b69-c229-4703-8bde-bb1d924c29b2,88440e6f-aadf-42f4-88f7-447db4abb9ba,1760087571397667242,-1.115799,-0.490189,-0.097275,-0.016113,-0.59375,0.833984,0.5587905730038575,-35.90863513382532,88.57039500629365,0.6820534467697144,-0.22391051054000854,-0.2119121104478836,0.6631441712379456
5c498b69-c229-4703-8bde-bb1d924c29b2,88440e6f-aadf-42f4-88f7-447db4abb9ba,1760087571407270242,-0.932693,-0.673294,-0.097275,-0.01709,-0.611328,0.82959,0.5638792316577514,-35.90688259395551,88.53788047957994,0.6822543144226074,-0.22398966550827026,-0.21180810034275055,0.6629440188407898
5c498b69-c229-4703-8bde-bb1d924c29b2,88440e6f-aadf-42f4-88f7-447db4abb9ba,1760087571416873242,-1.054764,-0.001907,0.024796,-0.005371,-0.602051,0.820312,0.5675980350539003,-35.908907319254155,88.51742573619053,0.6823756694793701,-0.2240609973669052,-0.21175771951675415,0.6628111004829407
